【portal】INFO 2025-01-02 17:40:05 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:40:05 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:47:10 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:47:10 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=8.00ms status_code=200
【portal】INFO 2025-01-02 17:47:30 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:47:30 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:47:41 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.98ms status_code=200
【portal】INFO 2025-01-02 17:47:41 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=7.00ms status_code=200
【portal】INFO 2025-01-02 17:48:18 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:48:18 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=8.00ms status_code=200
【portal】INFO 2025-01-02 17:49:08 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:49:08 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:49:40 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.04ms status_code=200
【portal】INFO 2025-01-02 17:49:40 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:49:41 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:49:42 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:49:56 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:49:57 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=6.00ms status_code=200
【portal】INFO 2025-01-02 17:50:06 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=1.99ms status_code=200
【portal】INFO 2025-01-02 17:51:05 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.65ms status_code=200
【portal】INFO 2025-01-02 17:51:05 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:51:13 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:51:13 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:51:27 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:51:27 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=7.00ms status_code=200
【portal】INFO 2025-01-02 17:51:36 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=489.63ms status_code=200
【portal】ERROR 2025-01-02 17:51:42 E:\github_repositories\code_PortalWeb_self\backend\application\utils\exceptions.py:19 发生异常：当前用户不存在！
【portal】INFO 2025-01-02 17:51:42 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=10.97ms status_code=200
【portal】ERROR 2025-01-02 17:51:52 E:\github_repositories\code_PortalWeb_self\backend\application\utils\exceptions.py:19 发生异常：当前账号或密码错误！
【portal】INFO 2025-01-02 17:51:52 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=14.97ms status_code=200
【portal】ERROR 2025-01-02 17:51:58 E:\github_repositories\code_PortalWeb_self\backend\application\utils\exceptions.py:19 发生异常：当前账号或密码错误！
【portal】INFO 2025-01-02 17:51:58 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/users/login timer=12.00ms status_code=200
【portal】INFO 2025-01-02 17:52:21 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:52:22 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:52:34 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:52:34 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:53:12 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:53:12 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:53:14 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 17:53:14 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:53:20 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:53:20 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 17:53:31 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.92ms status_code=200
【portal】INFO 2025-01-02 17:53:31 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=6.00ms status_code=200
【portal】INFO 2025-01-02 17:53:46 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.03ms status_code=200
【portal】INFO 2025-01-02 17:53:46 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:04:17 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.52ms status_code=200
【portal】INFO 2025-01-02 18:04:17 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=12.00ms status_code=200
【portal】INFO 2025-01-02 18:05:20 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=0.00ms status_code=200
【portal】INFO 2025-01-02 18:05:20 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:05:37 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/docs timer=1.00ms status_code=200
【portal】INFO 2025-01-02 18:05:37 E:\github_repositories\code_PortalWeb_self\backend\application\utils\middleware.py:14 path=/openapi.json timer=0.00ms status_code=200
